Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop
Slovakia,Europe,5459915.0,2480,1980.5,29.0,300.0,1824.0,1706.0,627.0,2.0,454.0,5.0,272322.0,49877.0
South Sudan,Africa,11206572.0,2450,1980.5,47.0,300.0,1175.0,1706.0,1228.0,538.7768595041322,219.0,4.0,12044.0,1075.0
Slovenia,Europe,2078968.0,2223,1980.5,125.0,300.0,1909.0,1706.0,189.0,2.0,1069.0,60.0,135702.0,65274.0
Lithuania,Europe,2718121.0,2171,1980.5,81.0,300.0,1656.0,1706.0,434.0,6.0,799.0,30.0,540784.0,198955.0
Estonia,Europe,1326627.0,2124,1980.5,63.0,300.0,1954.0,1706.0,107.0,538.7768595041322,1601.0,47.0,122880.0,92626.0
Mozambique,Africa,31333962.0,2120,1980.5,15.0,300.0,795.0,1706.0,1310.0,538.7768595041322,68.0,0.5,65151.0,2079.0
Rwanda,Africa,12981546.0,2111,1980.5,5.0,300.0,1258.0,1706.0,848.0,538.7768595041322,163.0,0.4,286251.0,22051.0
Suriname,South America,587154.0,2096,1980.5,29.0,300.0,1446.0,1706.0,621.0,9.0,3570.0,49.0,2785.0,4743.0
Guinea-Bissau,Africa,1972277.0,2032,1980.5,27.0,300.0,944.0,1706.0,1061.0,5.0,1030.0,14.0,1500.0,761.0
Benin,Africa,12151976.0,1936,1980.5,38.0,300.0,1600.0,1706.0,298.0,1.0,159.0,3.0,93677.0,7709.0
Iceland,Europe,341465.0,1930,1980.5,10.0,300.0,1825.0,1706.0,95.0,538.7768595041322,5652.0,29.0,149693.0,438385.0
Sierra Leone,Africa,7992169.0,1877,1980.5,67.0,300.0,1427.0,1706.0,383.0,538.7768595041322,235.0,8.0,1402404.7015706806,83959.3664921466
Yemen,Asia,29886897.0,1768,1980.5,508.0,300.0,898.0,1706.0,362.0,538.7768595041322,59.0,17.0,120.0,4.0
Tunisia,Africa,11830801.0,1642,1980.5,51.0,300.0,1241.0,1706.0,350.0,9.0,139.0,4.0,100298.0,8478.0
New Zealand,Australia/Oceania,5002100.0,1569,1980.5,22.0,300.0,1524.0,1706.0,23.0,538.7768595041322,314.0,4.0,486943.0,97348.0
Angola,Africa,32956300.0,1483,1980.5,64.0,300.0,520.0,1706.0,899.0,20.0,45.0,2.0,64747.0,1965.0
Uruguay,South America,3474956.0,1318,1980.5,37.0,300.0,1079.0,1706.0,202.0,2.0,379.0,11.0,126956.0,36535.0
Latvia,Europe,1883936.0,1275,1980.5,32.0,300.0,1070.0,1706.0,173.0,538.7768595041322,677.0,17.0,207909.0,110359.0
Jordan,Asia,10213138.0,1232,1980.5,11.0,300.0,1171.0,1706.0,50.0,3.0,121.0,1.0,628745.0,61562.0
Liberia,Africa,5068618.0,1224,1980.5,78.0,300.0,705.0,1706.0,441.0,538.7768595041322,241.0,15.0,1402404.7015706806,83959.3664921466
Uganda,Africa,45867852.0,1223,1980.5,5.0,300.0,1102.0,1706.0,116.0,538.7768595041322,27.0,0.1,288367.0,6287.0
Cyprus,Asia,1208238.0,1208,1980.5,19.0,300.0,856.0,1706.0,333.0,538.7768595041322,1000.0,16.0,216597.0,179267.0
Georgia,Asia,3988368.0,1206,1980.5,17.0,300.0,987.0,1706.0,202.0,538.7768595041322,302.0,4.0,240473.0,60294.0
Burkina Faso,Africa,20954852.0,1158,1980.5,54.0,300.0,961.0,1706.0,143.0,538.7768595041322,55.0,3.0,1402404.7015706806,83959.3664921466
Niger,Africa,24281433.0,1153,1980.5,69.0,300.0,1057.0,1706.0,27.0,538.7768595041322,47.0,3.0,9052.0,373.0
Togo,Africa,8296582.0,1012,1980.5,22.0,300.0,697.0,1706.0,293.0,2.0,122.0,3.0,45767.0,5516.0
Syria,Asia,17539600.0,999,1980.5,48.0,300.0,311.0,1706.0,640.0,538.7768595041322,57.0,3.0,1402404.7015706806,83959.3664921466
